"Year","Zone","Vaccine","# Immunized","# Eligible","% Coverage","95% CI"
"2017-18","WESTERN","HBV","1,310","1,583","82.75426405559%","80.9-84.6"
"2017-18","NORTHERN","HBV","1,203","1,409","85.37970191625%","83.5-87.2"
"2017-18","EASTERN","HBV","1,058","1,290","82.01550387597%","79.9-84.1"
"2017-18","CENTRAL","HBV","3,135","3,594","87.22871452421%","86.1-88.3"
"2017-18","NOVA SCOTIA","HBV","6,722","7,955","84.50031426776%","83.7-85.3"
"2017-18","WESTERN","HPV","1,305","1,583","82.43840808591%","80.6-84.3"
"2017-18","NORTHERN","HPV","1,189","1,409","84.38608942512%","82.5-86.3"
"2017-18","EASTERN","HPV","1,074","1,290","83.25581395349%","81.2-85.3"
"2017-18","CENTRAL","HPV","3,175","3,594","88.34168057874%","87.3-89.4"
"2017-18","NOVA SCOTIA","HPV","6,757","7,955","84.94028912634%","84.1-85.7"
"2017-18","WESTERN","MEN-C-ACYW-135","1,457","1,583","92.04042956412%","90.7-93.4"
"2017-18","NORTHERN","MEN-C-ACYW-135","1,300","1,409","92.26401703336%","90.9-93.7"
"2017-18","EASTERN","MEN-C-ACYW-135","1,154","1,290","89.45736434109%","87.8-91.3"
"2017-18","CENTRAL","MEN-C-ACYW-135","3,455","3,594","96.13244296049%","95.5-96.7"
"2017-18","NOVA SCOTIA","MEN-C-ACYW-135","7,385","7,955","92.83469516028%","92.3-93.4"
"2017-18","WESTERN","TDAP","1,414","1,583","89.32406822489%","87.8-90.8"
"2017-18","NORTHERN","TDAP","1,288","1,409","91.41234918382%","89.9-92.9"
"2017-18","EASTERN","TDAP","1,144","1,290","88.68217054264%","86.9-90.4"
"2017-18","CENTRAL","TDAP","3,371","3,594","93.79521424597%","93.0-94.6"
"2017-18","NOVA SCOTIA","TDAP","7,238","7,955","90.98680075424%","90.4-91.6"
"2018-19","WESTERN","HBV","1,638","1,949","84.04309902514%","82.4-85.7"
"2018-19","NORTHERN","HBV","1,279","1,496","85.49465240642%","83.7-87.3"
"2018-19","EASTERN","HBV","1,269","1,504","84.375%","82.5-86.2"
"2018-19","CENTRAL","HBV","3,415","4,000","85.375%","84.3-86.4"
"2018-19","NOVA SCOTIA","HBV","7,628","9,052","84.2686699072%","83.5-85.0"
"2018-19","WESTERN","HPV","1,614","1,949","82.81169830682%","81.1-84.5"
"2018-19","NORTHERN","HPV","1,285","1,496","85.89572192513%","84.1-87.7"
"2018-19","EASTERN","HPV","1,273","1,504","84.64095744681%","82.8-86.5"
"2018-19","CENTRAL","HPV","3,492","4,000","87.3%","86.3-88.3"
"2018-19","NOVA SCOTIA","HPV","7,689","9,052","84.94255413168%","84.2-85.7"
"2018-19","WESTERN","MEN-C-ACYW-135","1,784","1,949","91.53412006157%","90.3-92.8"
"2018-19","NORTHERN","MEN-C-ACYW-135","1,386","1,496","92.64705882353%","91.3-94.0"
"2018-19","EASTERN","MEN-C-ACYW-135","1,353","1,504","89.96010638298%","88.4-91.5"
"2018-19","CENTRAL","MEN-C-ACYW-135","3,756","4,000","93.9%","93.2-94.6"
"2018-19","NOVA SCOTIA","MEN-C-ACYW-135","8,314","9,052","91.84710561202%","91.3-92.4"
"2018-19","WESTERN","TDAP","1,727","1,949","88.60954335557%","87.2-90.0"
"2018-19","NORTHERN","TDAP","1,359","1,496","90.8422459893%","89.4-92.3"
"2018-19","EASTERN","TDAP","1,334","1,504","88.69680851064%","87.1-90.3"
"2018-19","CENTRAL","TDAP","3,641","4,000","91.025%","90.1-91.9"
"2018-19","NOVA SCOTIA","TDAP","8,095","9,052","89.42775077331%","88.8-90.1"
"2016-17","WESTERN","TDAP","1,617","1,778","90.9%","89.5-92.2"
"2016-17","WESTERN","MEN-C-ACYW-135","1,684","1,778","94.7%","93.6-95.7"
"2016-17","WESTERN","HBV - Dose 1","1,571","1,778","88.4%","86.8-89.8"
"2016-17","WESTERN","HBV - Dose 2","1,333","1,778","75%","72.9-76.9"
"2016-17","WESTERN","HPV - Dose 1","1,559","1,778","87.7%","86.1-89.1"
"2016-17","WESTERN","HPV - Dose 2","1,385","1,778","77.9%","75.9-79.8"
"2016-17","NORTHERN","TDAP","1,389","1,424","97.5%","96.6-98.2"
"2016-17","NORTHERN","MEN-C-ACYW-135","1,424","1,424","100%","99.7-100.0"
"2016-17","NORTHERN","HBV - Dose 1","1,367","1,424","96%","94.8-96.9"
"2016-17","NORTHERN","HBV - Dose 2","1,206","1,424","84.7%","82.7-86.5"
"2016-17","NORTHERN","HPV - Dose 1","1,357","1,424","95.3%","94.1-96.3"
"2016-17","NORTHERN","HPV - Dose 2","1,227","1,424","86.2%","84.3-87.9"
"2016-17","EASTERN","TDAP","1,366","1,611","84.8%","83.0-86.5"
"2016-17","EASTERN","MEN-C-ACYW-135","1,433","1,611","89%","87.3-90.4"
"2016-17","EASTERN","HBV - Dose 1","1,362","1,611","84.5%","82.7-86.2"
"2016-17","EASTERN","HBV - Dose 2","1,205","1,611","74.8%","72.6-76.9"
"2016-17","EASTERN","HPV - Dose 1","1,371","1,611","85.1%","83.3-86.8"
"2016-17","EASTERN","HPV - Dose 2","1,243","1,611","77.2%","75.0-79.1"
"2016-17","CENTRAL","TDAP","4,071","4,284","95%","94.3-95.6"
"2016-17","CENTRAL","MEN-C-ACYW-135","3,991","4,284","93.2%","92.4-93.9"
"2016-17","CENTRAL","HBV - Dose 1","3,656","4,284","85.3%","84.2-86.4"
"2016-17","CENTRAL","HBV - Dose 2","2,959","4,284","69.1%","67.7-70.4"
"2016-17","CENTRAL","HPV - Dose 1","3,865","4,284","90.2%","89.3-91.1"
"2016-17","CENTRAL","HPV - Dose 2","3,329","4,284","77.7%","76.4-78.9"
"2016-17","NOVA SCOTIA","TDAP","8,443","9,097","92.8%","92.3-93.3"
"2016-17","NOVA SCOTIA","MEN-C-ACYW-135","8,541","9,097","93.9%","93.4-94.4"
"2016-17","NOVA SCOTIA","HBV - Dose 1","7,956","9,097","87.5%","86.8-88.1"
"2016-17","NOVA SCOTIA","HBV - Dose 2","6,703","9,097","73.7%","72.8-74.6"
"2016-17","NOVA SCOTIA","HPV - Dose 1","8,152","9,097","89.6%","89.0-90.2"
"2016-17","NOVA SCOTIA","HPV - Dose 2","7,184","9,097","79%","78.1-79.8"
"2015-16","WESTERN","TDAP","1,938","2,107","92%","90.8-93.1"
"2015-16","WESTERN","MEN-C-ACYW-135","1,956","2,107","92.8%","91.7-93.9"
"2015-16","WESTERN","HBV - Dose 1","1,796","2,107","85.2%","83.7-86.7"
"2015-16","WESTERN","HBV - Dose 2","1,584","2,107","75.2%","73.3-77.0"
"2015-16","WESTERN","HPV - Dose 1","1,799","2,107","85.4%","83.8-86.8"
"2015-16","WESTERN","HPV - Dose 2","1,629","2,107","77.3%","75.5-79.1"
"2015-16","NORTHERN","TDAP","1,621","1,698","95.5%","94.4-96.4"
"2015-16","NORTHERN","MEN-C-ACYW-135","1,647","1,698","97%","96.1-97.7"
"2015-16","NORTHERN","HBV - Dose 1","1,553","1,698","91.5%","90.1-92.7"
"2015-16","NORTHERN","HBV - Dose 2","1,432","1,698","84.3%","92.0-94.4"
"2015-16","NORTHERN","HPV - Dose 1","1,543","1,698","90.9%","89.4-92.2"
"2015-16","NORTHERN","HPV - Dose 2","1,456","1,698","85.7%","84.0-87.3"
"2015-16","EASTERN","TDAP","1,551","1,746","88.8%","87.3-90.2"
"2015-16","EASTERN","MEN-C-ACYW-135","1,584","1,746","90.7%","89.3-92.0"
"2015-16","EASTERN","HBV - Dose 1","1,513","1,746","86.7%","85.0-88.2"
"2015-16","EASTERN","HBV - Dose 2","1,365","1,746","78.2%","76.2-80.1"
"2015-16","EASTERN","HPV - Dose 1","1,517","1,746","86.9%","85.2-88.4"
"2015-16","EASTERN","HPV - Dose 2","1,387","1,746","79.4%","77.5-81.3"
"2015-16","CENTRAL","TDAP","4,487","4,702","95.4%","94.8-96.0"
"2015-16","CENTRAL","MEN-C-ACYW-135","4,497","4,702","95.6%","95.0-96.2"
"2015-16","CENTRAL","HBV - Dose 1","4,123","4,702","87.7%","86.7-88.6"
"2015-16","CENTRAL","HBV - Dose 2","3,548","4,702","75.5%","74.2-76.7"
"2015-16","CENTRAL","HPV - Dose 1","4,311","4,702","91.7%","90.9-92.4"
"2015-16","CENTRAL","HPV - Dose 2","3,822","4,702","81.3%","80.1-82.4"
"2015-16","NOVA SCOTIA","TDAP","9,597","10,253","93.6%","93.1-94.1"
"2015-16","NOVA SCOTIA","MEN-C-ACYW-135","9,685","10,253","94.5%","94.0-94.9"
"2015-16","NOVA SCOTIA","HBV - Dose 1","8,987","10,253","87.7%","87.0-88.3"
"2015-16","NOVA SCOTIA","HBV - Dose 2","7,929","10,253","77.3%","76.5-78.1"
"2015-16","NOVA SCOTIA","HPV - Dose 1","9,170","10,253","89.4%","88.8-90.0"
"2015-16","NOVA SCOTIA","HPV - Dose 2","8,294","10,253","80.9%","80.1-81.6"
"2014-15","WESTERN","TDAP","1,749","1,866","93.7%","92.5-94.7"
"2014-15","WESTERN","MEN-C-C","1,730","1,866","92.7%","91.4-93.8"
"2014-15","WESTERN","HBV - Dose 1","1,621","1,866","86.9%","85.3-88.3"
"2014-15","WESTERN","HBV - Dose 2","1,463","1,866","78.4%","76.5-80.2"
"2014-15","WESTERN","HPV - Dose 1","738","891","82.8%","80.2-85.2"
"2014-15","WESTERN","HPV - Dose 2","707","891","79.3%","76.6-81.9"
"2014-15","WESTERN","HPV - Dose 3","677","891","76%","73.1-78.7"
"2014-15","NORTHERN","TDAP","1,420","1,487","95.5%","94.3-96.4"
"2014-15","NORTHERN","MEN-C-C","1,426","1,487","95.9%","94.8-96.8"
"2014-15","NORTHERN","HBV - Dose 1","1,322","1,487","88.9%","87.2-90.4"
"2014-15","NORTHERN","HBV - Dose 2","1,224","1,487","82.3%","80.3-84.2"
"2014-15","NORTHERN","HPV - Dose 1","642","734","87.5%","84.9-89.7"
"2014-15","NORTHERN","HPV - Dose 2","629","734","85.7%","83.0-88.0"
"2014-15","NORTHERN","HPV - Dose 3","593","734","80.8%","77.8-83.5"
"2014-15","EASTERN","TDAP","1,513","1,638","92.4%","91.0-93.6"
"2014-15","EASTERN","MEN-C-C","1,500","1,638","91.6%","90.1-92.8"
"2014-15","EASTERN","HBV - Dose 1","1,411","1,638","86.1%","84.4-87.7"
"2014-15","EASTERN","HBV - Dose 2","1,269","1,638","77.5%","75.4-79.4"
"2014-15","EASTERN","HPV - Dose 1","726","831","87.4%","84.9-89-5"
"2014-15","EASTERN","HPV - Dose 2","707","831","85.1%","82.5-87.3"
"2014-15","EASTERN","HPV - Dose 3","656","831","78.9%","76.0-81.6"
